,precision,recall,f1-score,support
apple,1.0,1.0,1.0,20.0
banana,1.0,1.0,1.0,20.0
blackgram,1.0,0.95,0.9743589743589743,20.0
chickpea,1.0,1.0,1.0,20.0
coconut,1.0,1.0,1.0,20.0
coffee,1.0,1.0,1.0,20.0
cotton,1.0,1.0,1.0,20.0
grapes,1.0,1.0,1.0,20.0
jute,0.9523809523809523,1.0,0.975609756097561,20.0
kidneybeans,1.0,1.0,1.0,20.0
lentil,1.0,0.95,0.9743589743589743,20.0
maize,0.9523809523809523,1.0,0.975609756097561,20.0
mango,1.0,1.0,1.0,20.0
mothbeans,0.9523809523809523,1.0,0.975609756097561,20.0
mungbean,1.0,1.0,1.0,20.0
muskmelon,1.0,1.0,1.0,20.0
orange,1.0,1.0,1.0,20.0
papaya,1.0,1.0,1.0,20.0
pigeonpeas,1.0,1.0,1.0,20.0
pomegranate,1.0,1.0,1.0,20.0
rice,1.0,0.95,0.9743589743589743,20.0
watermelon,1.0,1.0,1.0,20.0
accuracy,0.9931818181818182,0.9931818181818182,0.9931818181818182,0.9931818181818182
macro avg,0.9935064935064936,0.993181818181818,0.9931775541531639,440.0
weighted avg,0.9935064935064934,0.9931818181818182,0.9931775541531639,440.0
